,title,price,year,link,type,color,age
131,mongoose dual shock bicycle – 21 speed aluminum frame bike,125,,https://york.craigslist.org/bik/d/york-mongoose-dual-shock-bicycle-21/7821666762.html,missing,missing,
132,mountain bike 26 inch bicycle,85,,https://york.craigslist.org/bik/d/york-mountain-bike-26-inch-bicycle/7821435102.html,mountain,missing,
133,small schwinn childs bike,250,,https://richmond.craigslist.org/bik/d/richmond-small-schwinn-childs-bike/7819699453.html,missing,missing,
134,vintage all pro kmart bicycle,40,,https://richmond.craigslist.org/bik/d/richmond-vintage-all-pro-kmart-bicycle/7819699183.html,missing,missing,
135,vintage schwinn mesa gs aluminum mountain bike fully restored,500,,https://washingtondc.craigslist.org/doc/bik/d/washington-vintage-schwinn-mesa-gs/7819313325.html,mountain,missing,
136,cyclocross bike 50cm sram rival groupset hydraulic disc brakes,350,,https://raleigh.craigslist.org/bik/d/garner-cyclocross-bike-50cm-sram-rival/7821308024.html,missing,missing,
137,gravel bike made in usa,275,,https://raleigh.craigslist.org/bik/d/garner-gravel-bike-made-in-usa/7823580530.html,missing,missing,
138,"1980s kent ambush bmx bicycle, 20 inch bike",325,1980.0,https://york.craigslist.org/bik/d/york-1980s-kent-ambush-bmx-bicycle-20/7821435278.html,bmx,missing,45.0
139,"1980s schwinn latour, bicycle, mint condition all original 10 spd bike",225,1980.0,https://york.craigslist.org/bik/d/york-1980s-schwinn-latour-bicycle-mint/7821443313.html,missing,missing,45.0
140,schwinn girls world sport,125,,https://norfolk.craigslist.org/bik/d/williamsburg-schwinn-girls-world-sport/7824154774.html,missing,missing,
141,kids scooter,80,,https://washingtondc.craigslist.org/nva/bik/d/lorton-kids-scooter/7824154628.html,missing,missing,
142,northwoods springdale hybrid bicycle cruiser bike new $300 i’m asking,225,,https://york.craigslist.org/bik/d/york-northwoods-springdale-hybrid/7822795024.html,missing,missing,
143,"nishiki 20 inch kids bicycle, 7 speed bike",135,,https://york.craigslist.org/bik/d/york-nishiki-20-inch-kids-bicycle-speed/7821435334.html,missing,missing,
144,tall k2 alturas 2.0 men's hybrid bike - 20 inch / 21 speeds,150,,https://washingtondc.craigslist.org/mld/bik/d/gaithersburg-tall-k2-alturas-20-mens/7818101712.html,missing,missing,
145,"schwinn sr suntour high timber blue, gray and white bike 26""",25,,https://baltimore.craigslist.org/bik/d/baltimore-schwinn-sr-suntour-high/7823490870.html,missing,white,
146,petimini 16 inch little kids bike for age 4-7 years old girls retro vi,15,,https://baltimore.craigslist.org/bik/d/baltimore-petimini-16-inch-little-kids/7823485352.html,missing,missing,
147,"triax dual shock, aluminum frame mountain bike, 20 inch bicycle",65,,https://york.craigslist.org/bik/d/york-triax-dual-shock-aluminum-frame/7819282456.html,mountain,missing,
148,"vintage 1980s columbia california girl bicycle, 20 inch bike",65,1980.0,https://york.craigslist.org/bik/d/york-vintage-1980s-columbia-california/7821443437.html,missing,missing,45.0
149,"girls paw patrol bicycle, bike has training wheels",45,,https://york.craigslist.org/bik/d/york-girls-paw-patrol-bicycle-bike-has/7822345273.html,missing,missing,
150,roadmaster mountain bike 26 inch tire 18 speed bicycle,85,,https://york.craigslist.org/bik/d/york-roadmaster-mountain-bike-26-inch/7819282580.html,mountain,missing,
151,peloton bike - ($400) will deliver,400,,https://washingtondc.craigslist.org/doc/bik/d/washington-peloton-bike-will-deliver/7824153151.html,missing,missing,
152,trek 7500 multitrack road bike hybrid comfort aluminum bicycle bike,400,,https://washingtondc.craigslist.org/nva/bik/d/alexandria-trek-7500-multitrack-road/7824151392.html,road,missing,
153,56cm jamis endura carbon road bike,650,,https://raleigh.craigslist.org/bik/d/durham-56cm-jamis-endura-carbon-road/7824152909.html,road,missing,
154,giant roam 2 bicycle,190,,https://charlottesville.craigslist.org/bik/d/charlottesville-giant-roam-bicycle/7824152667.html,missing,missing,
155,add - on bike,87,,https://baltimore.craigslist.org/bik/d/towson-add-on-bike/7819293882.html,missing,missing,
156,trek 830 mountaintrack xc custom mtbmx cruiser,225,,https://raleigh.craigslist.org/bik/d/raleigh-trek-830-mountaintrack-xc/7818189444.html,missing,missing,
157,performance vitesse 61cm all-rounder,250,,https://raleigh.craigslist.org/bik/d/raleigh-performance-vitesse-61cm-all/7820078204.html,missing,missing,
158,gary fischer marlin mtb xl $125 obo,125,,https://raleigh.craigslist.org/bik/d/raleigh-gary-fischer-marlin-mtb-xl-125/7823294075.html,missing,missing,
159,diamondback wildwood comfort hybrid $115 obo,115,,https://raleigh.craigslist.org/bik/d/raleigh-diamondback-wildwood-comfort/7823294858.html,missing,missing,
160,boeris flat bar road bike 60cm,375,,https://raleigh.craigslist.org/bik/d/raleigh-boeris-flat-bar-road-bike-60cm/7823530479.html,road,missing,
161,18 speed atb  [all terrain bike],63,,https://baltimore.craigslist.org/bik/d/towson-18-speed-atb-all-terrain-bike/7819293669.html,missing,missing,
162,"1980s schwinn traveler bicycle, mint condition all original bike",225,1980.0,https://york.craigslist.org/bik/d/york-1980s-schwinn-traveler-bicycle/7824147811.html,missing,missing,45.0
163,"3 speed street bike, foot brake",100,,https://baltimore.craigslist.org/bik/d/towson-speed-street-bike-foot-brake/7822438529.html,missing,missing,
164,1 speed add-on bike,87,,https://baltimore.craigslist.org/bik/d/towson-speed-add-on-bike/7816576561.html,missing,missing,
165,"kent abyss bicycle, 20 inch bike",35,,https://york.craigslist.org/bik/d/york-kent-abyss-bicycle-20-inch-bike/7824147278.html,missing,missing,
166,khs,325,,https://raleigh.craigslist.org/bik/d/wake-forest-khs/7823574734.html,missing,missing,
167,trek 2100 zx carbon road bike,400,,https://raleigh.craigslist.org/bik/d/wake-forest-trek-2100-zx-carbon-road/7823578425.html,road,missing,
168,1961 amf roadmaster,200,1961.0,https://lynchburg.craigslist.org/bik/d/lynchburg-1961-amf-roadmaster/7817434080.html,missing,missing,64.0
169,trek road bike 54cm,350,,https://raleigh.craigslist.org/bik/d/wake-forest-trek-road-bike-54cm/7823084980.html,road,missing,
170,cannondale xs800,650,,https://raleigh.craigslist.org/bik/d/wake-forest-cannondale-xs800/7819507330.html,missing,missing,
171,vintage proflex 555 mountain bike,295,,https://lancaster.craigslist.org/bik/d/lancaster-vintage-proflex-555-mountain/7823578817.html,mountain,missing,
172,vintage shogun road hybrid * large,300,,https://raleigh.craigslist.org/bik/d/raleigh-vintage-shogun-road-hybrid-large/7817113426.html,road,missing,
173,schwinn sierra small hybrid,160,,https://richmond.craigslist.org/bik/d/mechanicsville-schwinn-sierra-small/7823073976.html,missing,missing,
174,diamondback edgewood medium hybrid,160,,https://richmond.craigslist.org/bik/d/mechanicsville-diamondback-edgewood/7823074000.html,missing,missing,
175,diamondback edgewood medium hybrid,160,,https://richmond.craigslist.org/bik/d/mechanicsville-diamondback-edgewood/7820721515.html,missing,missing,
176,1959 red schwinn phantom,2200,1959.0,https://richmond.craigslist.org/bik/d/mechanicsville-1959-red-schwinn-phantom/7817887402.html,missing,red,66.0
177,townie by trek  excellent,240,,https://richmond.craigslist.org/bik/d/mechanicsville-townie-by-trek-excellent/7816301946.html,missing,missing,
178,"fuji sunfire 3.0 17.0 med hybrid. 19"" large hybrid",220,,https://richmond.craigslist.org/bik/d/mechanicsville-fuji-sunfire-med-hybrid/7819844233.html,missing,missing,
179,"schwinn suburban 16"" medium lady",160,,https://richmond.craigslist.org/bik/d/mechanicsville-schwinn-suburban-16/7822063643.html,missing,missing,
180,fuji absolute 2.0 flat bar road bike large,220,,https://richmond.craigslist.org/bik/d/mechanicsville-fuji-absolute-20-flat/7822010461.html,road,missing,
181,novara transfer (rei) sm/med  nexus 7,160,,https://richmond.craigslist.org/bik/d/mechanicsville-novara-transfer-rei-sm/7822539999.html,missing,missing,
